anomaly_case,detector_combination,valid_scope_mh_evaluations,mean_precision,mean_recall,mean_f1,mean_g
currency_swap,Sanity -> IF,66,0.054435231867448294,1.0,0.1140641747941663,0.8594503414079794
currency_swap,Sanity -> Z-score (>=5) -> IF,66,0.04381149999999412,1.0,0.09354186611308009,0.8353996022337323
decimal_shift,Sanity -> IF,67,0.055976953643162845,0.9420730502734083,0.11386257295590137,0.8399117594046908
decimal_shift,Sanity -> Z-score (>=5) -> IF,67,0.04648799920563067,0.9420730502734083,0.09397819413891563,0.8165474414936338
extreme_outlier,Sanity -> IF,66,0.05189494846007295,0.9655438384748527,0.11418040969843732,0.8528561077867872
extreme_outlier,Sanity -> Z-score (>=5) -> IF,66,0.041820150499861805,0.9655438384748527,0.09378876765561271,0.8290230401247497
list_price_violation,Sanity -> IF,18,0.044271385742825804,1.0,0.10712149841382448,0.7806481097363857
list_price_violation,Sanity -> Z-score (>=5) -> IF,18,0.04131389156474269,1.0,0.09636939564204253,0.7733718136481352
negative_price,Sanity -> IF,67,0.05725245655238184,1.0,0.11194741909819017,0.8257494753248106
negative_price,Sanity -> Z-score (>=5) -> IF,67,0.04673648750747053,1.0,0.0920229011818924,0.8022625543338225
price_drop,Sanity -> IF,66,0.043426995413808414,0.8045349120066287,0.10500498221466022,0.8014915040593472
price_drop,Sanity -> Z-score (>=5) -> IF,66,0.03546401097301554,0.8181734629758259,0.08801061835052722,0.7871761189357699
price_noise,Sanity -> IF,66,0.012861645567842753,0.31521186502914417,0.027163418913266242,0.4090839740787484
price_noise,Sanity -> Z-score (>=5) -> IF,66,0.016827808076672245,0.4459293713504228,0.03689377280167623,0.510811565559398
price_spike,Sanity -> IF,67,0.05037457418416089,0.8856848135424071,0.10809770650372431,0.8219289832600555
price_spike,Sanity -> Z-score (>=5) -> IF,67,0.040114343919685096,0.8881716717989586,0.08964360015849106,0.8005765970895087
zero_price,Sanity -> IF,68,0.06075191506810686,1.0,0.1310876409849682,0.8541372114316207
zero_price,Sanity -> Z-score (>=5) -> IF,68,0.049394593148757,1.0,0.10894711429030846,0.8299607925624636
